"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T02",1454.7,1.1,0.1,0.2,0,3188.6,13.8,618.9,296.9,0.1,2.7,1.1,34.5,0.3,0.3,0,0.1,0,0.1,0.1,0,16.2,30.1,0,28.8,2.5,1,7.7,0.2,4.3,0,109.8,0.5,0.1,0.1,0.3,0.5,0.5,10.1,11.8,1.3,7.8,3.3,36.8,0,2212.2,0,107.8,330.1,-6.7,0,9.5,2536.4,0,11076.8
"DOM_03",2.7,187,0,0.4,0,1679.6,0.1,0.2,0.4,0.3,2,16.7,1.1,0.1,1.2,0.1,0,0,0,0,0,0.2,0,0,0.6,0.4,0.1,4.7,0,0,0,20.4,0,0,0.1,0.1,0,0.1,0.1,0.6,0.1,0.7,0.3,2.4,0,219.6,0,0.1,0.4,2.6,0,1.2,745.7,0,2892.6
"DOM_05T06",1.7,0.5,1.5,2,0.1,7,0.3,0.1,0.8,275.5,4.1,0.4,0.2,6,15,0.2,0,0,0.1,0,0,0.1,37.4,0.1,2.9,2.6,7.1,3,1.3,0.2,0.1,0.4,0.1,0.2,0.3,0.5,0.3,1.7,0.9,0.4,0.1,0.3,0.1,0.2,0,26.1,0,0,23.2,0.8,0,0.2,7.5,0,433.6
"DOM_07T08",98.6,2.7,11.2,1265.8,1.3,74.3,7.2,7.7,21,22.6,327.1,4.9,49.9,372.5,3882.7,163.7,22.2,15.3,49.4,2.9,9.5,41.8,3.4,1.1,594.7,50.7,12.3,3.4,1.6,3.4,0.8,7.3,3.9,6.6,5.9,7.9,8,48.5,21.5,8.2,2.6,8.7,5,15.5,0,187.4,0,1,282.5,22.7,0,2.5,11374.4,0,19145.9
"DOM_09",0.2,0,2.9,0.1,0.3,0.1,0,0,0.1,0.1,0.3,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.6,0,0,78.9,0,0,0,2.8,0,87.7
"DOM_10T12",607.9,451,0.3,7.9,0,1790.9,18.1,3.5,10.5,6.4,42.9,14.4,7.3,10.1,23.2,2.4,0.5,0.3,1.4,0.7,0.5,2.9,5.1,1.4,28.1,124.3,9.7,49.2,4.1,3.2,0.3,686.9,2.1,5,3.6,10.9,9.7,9.3,8.6,31.6,8.8,28.7,8.3,16.4,0,9857.6,0,64.1,55.5,457.8,0,53.1,6503.1,0,21049.8
"DOM_13T15",6.2,4,0.1,2.7,0,14.4,68.9,0.8,6.8,1.3,5.3,1.3,4.9,1.3,7.1,0.8,0.3,0.2,0.7,0.2,0.3,8.4,1,0.2,31.9,25.9,4.9,4,1.1,0.9,0.1,4.3,1.6,1.5,0.8,6.6,1.7,4.1,2.9,7.1,1.3,3.9,1.2,3.7,0,1330.3,0,0.4,25.3,169.4,0,25.1,376.2,0,2173.3
"DOM_16",11.4,1,0.3,2.2,0,22.8,1,118.3,33.9,1.1,2.4,0.4,1.1,3.8,6.6,0.7,0.2,0.1,0.3,0.1,0.3,17.3,8.4,0.3,151.5,14.6,1.7,0.5,0.2,0.8,0.1,1.1,0.8,0.9,0.4,2,1.1,1.1,2.1,2.2,0.6,1.2,0.2,3.1,0,51.9,0,0.2,16.7,-13.3,0,2.1,2494.3,0,2972.3
"DOM_17T18",26.8,4.8,0.2,17.2,0,292.7,12.2,71.4,494.6,11.9,57,22.3,19.7,19.1,47.7,3.6,2.2,1.2,3.9,1.9,0.9,12.8,71.6,2.3,95.2,364.1,18,6.2,4.2,36.8,2.7,22.3,168.4,57,10.9,114.3,32.5,94.6,44.7,46.1,30,23.8,10.6,34.6,0,749.5,0.1,1.5,67.4,23.4,0,6.6,2209.7,0,5473.4
"DOM_19",241.8,78.9,3.3,88.1,0,124.6,5.2,9.8,42.4,192.3,88,2.2,9.1,46.8,202.9,6.1,1.1,0.9,4.1,0.6,1.4,5.8,174,3.1,146.2,147.4,1103.5,503,217.2,21.2,1,28,2.5,3.9,1.8,7.5,5,33.8,64.4,47.8,9.9,38.1,3.8,13.3,0,1602.6,0,0.4,24.3,132.9,0,24.6,1003.8,0,6520.6
