"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_20",308.2,10.1,1.7,95.7,0,164.1,25.4,34.2,89.7,70.6,381.2,13.6,233.9,43.8,269.6,14.8,3.5,2.3,9.3,0.6,1.7,18.3,6.5,2.5,162.6,48,48.3,18.5,7.3,5.3,0.5,14.7,8.5,3,2.2,6.6,10.5,15.9,24.1,21.3,13.5,49.5,11.3,29.5,0,826.4,0,0.8,56.3,41.9,0,7.1,2134.1,0,5369.2
"DOM_21",41.5,17,0,7.1,0,25.3,0.3,0.2,0.8,0.4,24.1,88.3,1,0.2,9,0.2,0.1,0.1,0.1,0.6,0,0.2,0.2,0,1.6,2.1,0.8,0.3,0.1,0.1,0,0.4,0.8,0.3,0.2,0.7,1.2,1.9,1,16.1,0.9,95,0.4,2.1,0,565.1,0,0.1,12.2,41.1,0,4.6,80.4,0,1046.2
"DOM_22",56.1,16.4,0.5,26.8,0,216.5,8.1,4.2,25.5,9.7,55.8,12.7,76.6,8.2,54.1,7.8,1,0.9,5.8,0.2,4.6,10.9,2.9,0.2,152.8,226.1,106.9,2.9,2.5,3.6,0.2,5.3,4.7,9,4.4,12.3,3.4,11.1,16.2,8.5,3.6,11.7,0.5,7.1,0,291.6,0,0.2,111.7,20.2,0,0.6,504.8,0,2127.3
"DOM_23",15.9,1.9,0.2,19.8,0,83.3,1.1,4.3,5.1,3.1,24.8,4.9,7.4,315.6,46.6,7.3,14.8,11.4,5.8,0.1,1.7,6.8,3.6,0.1,1406.7,80.6,16.8,7.6,2.3,0.6,0.1,10.8,0.8,11.7,0.6,1.9,2.8,7.7,2.3,4.2,4.6,3.6,0.6,4.3,0,207.3,0,0.6,71.5,9.1,0,0.4,151.7,0,2596.7
"DOM_24",133.4,7.2,17.9,317.8,1.6,147.7,13.3,21.4,52.5,78.8,246.5,12.5,152,121,8209,765.8,81.3,83.2,210.8,20.4,61.7,188.7,6.7,2,1757.5,70.8,18.3,6.9,1.9,5.7,0.8,7.6,11,12.3,5.9,11.7,13.1,122.9,83,15.6,5.6,25,5.8,18.6,0,362.1,0,1,415,33.8,0,4.5,19926.3,0,33895.7
"DOM_25",22,11,1.9,83.1,0.1,101.1,7.9,8.9,23.1,7.4,21.5,2.1,10.5,14,218.4,42.3,5.4,4.3,15.3,1,5.8,15.6,9.6,0.4,834.9,102.8,28.5,7.6,5.6,5.9,0.5,10.2,5,15.3,3.4,21.1,7.5,13.7,29.3,14.7,5.4,11,1.8,10.5,0,286.1,0,0.7,409.2,41.6,0,1.3,433.7,0,2940.1
"DOM_26",1.6,0.7,0.2,3.1,0,3.8,0.3,0.5,1,0.3,0.9,0.3,0.6,2.1,9,0.9,0.6,0.2,0.4,0.1,0.2,0.4,1.1,0.1,13.2,17.6,3,1,0.8,0.9,0.2,1.1,0.7,4,6,5.2,0.8,2.7,3.1,5.2,1.1,3.4,0.4,0.4,0,175.4,0,1.7,56,108.4,0,8,134.3,0,583.2
"DOM_27",0.8,0.6,0,1.1,0,1.7,0.2,0.3,0.4,0.3,0.6,0.2,0.2,0.4,2.9,0.2,0.6,0.7,0.7,0,0.2,0.2,0.6,0,6.5,15.6,1.1,0.5,0.2,0.3,0,0.3,0.5,2,0.9,1.3,0.6,1.3,1.8,1.1,0.3,1.9,0.3,0.5,0,38,0,0.2,35.2,15.8,0,1.8,164,0,305
"DOM_28",7.5,4.3,1.3,25.1,0.1,19.4,1.4,3.4,7.7,3.1,5.4,1.4,3.6,3.4,61.5,2.1,1.2,0.8,4.7,0.3,1,2.5,8.3,0.4,23.8,59.7,15.9,7.3,6.4,4.1,0.3,3.9,3.1,17.5,7.1,19.2,3.7,11.8,17.5,13.8,3.3,6.8,2.2,1.5,0,75,0,0.6,178.7,89,0,1.2,434.3,0,1178
"DOM_29",0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,73.9,0,0,57.1,-113,0,0,318.5,0,338.3
"DOM_30",2,0.9,0.3,5.8,0,4.9,0.3,0.8,1.7,0.2,0.7,0.4,0.7,0.7,15.1,0.4,0.5,0.3,0.3,1.8,0.7,0.3,2.5,0.1,3.2,11.6,6.8,8.1,11.8,1.2,0.1,1.2,0.8,5.3,0.5,4.7,2.5,2,5,5.1,0.9,1.8,0.3,0.3,0,22.9,0,0,97.5,37.4,0,0.1,148.9,0,421.7
"DOM_31T33",11,8,3.2,54.7,0,38.9,7.3,8.2,16.2,1.2,4.8,3.1,6.1,5.8,144.4,2.2,1,0.5,2,0,0.5,6.9,23.9,0.8,37.3,47.8,42.2,19,12.5,10.1,0.7,10.4,7.8,52.7,4.5,54.3,4.6,17.4,33.2,25.3,9.1,17.3,2.7,5.7,0,502.5,0,0.7,84.3,51.8,0,18.7,243.3,0,1667
"DOM_35",96.6,10.8,1.1,280.9,0.1,199.3,13.5,70.1,225.5,276.5,108,5.3,51.2,59.3,873.8,21.4,3.9,1.9,8.7,7.2,3.2,9.6,1512.5,17.4,51.2,280.1,49.6,1.4,2.4,33.6,2,72.3,13.2,75.6,13.3,90.2,91.6,43.3,32.2,179,60.8,84.5,11.7,18.6,0,1575.3,0,0.7,59.5,1.3,0,0.2,17,0,6718.4
"DOM_36T39",2,0.5,0.1,7,0,17.2,1.3,1.1,8.3,3.6,6.2,0.5,4.6,4.2,28.8,1.2,0.5,0.3,1.1,0.5,0.2,2.2,1.1,6.2,12,22.3,3.6,0.2,0.3,2.5,0.2,6.9,1.7,1.7,1.7,8.4,9.9,6.4,2.3,69.1,27.2,12,3.9,6.1,0,667.5,105.6,77.9,2.8,0,0,0.1,1.2,0,1152.3
"DOM_41T43",14.6,3.8,0.5,7.4,0,20.9,1.8,2.7,5.3,7.9,6,1.7,2.9,6.5,11.2,1.7,1.5,0.8,1.4,0,0.6,1.3,10.9,13.7,6,168.3,22.3,0.8,5.2,35.1,0.6,33,5.9,19,4.3,56.4,1256.6,21.6,21,219.4,59.7,32.1,8.4,14.6,0,113.4,0,0.7,16770,-0.1,0,0,0,0,18999.5
"DOM_45T47",682.4,158.3,7.3,205,0.1,1425.4,168.6,82.1,198.2,107.1,282.4,87.8,145.9,77.8,608.3,69.8,17.1,12.1,41.3,31.3,24,60.3,131.4,7.5,697.7,981.8,615.7,216.2,122,61,8.2,241.4,48.4,190.9,72.3,176.5,53,131.5,233.3,179.9,45.3,176.2,33,65,0,8771.4,1.9,44.8,1470.7,28.3,0,63.9,4123.6,0,23485.4
"DOM_49",326.9,57.8,3.3,114.8,0.1,764.1,38.7,70.6,101.2,74.3,123.4,22.7,67.8,62.1,338.2,59.1,12.4,9.5,27.1,18.9,13.9,30.9,70.6,2.4,384.9,725.8,258.9,119.6,41.9,23.3,8.7,68.8,16.1,17.3,21.5,38.3,12.2,44.3,78.7,68.8,18.4,53.6,8.3,24,0,3249.8,0.2,21.7,571.1,5.1,0,91.7,1919.4,0,10303.2
"DOM_50",24.7,2.6,0.1,4.1,0,50.9,3.2,3,4.8,2.7,5.4,1.8,5.2,2.9,20.8,4.5,1,0.8,2.3,1.6,0.9,2.2,4.4,0.2,30,21.9,14,28.1,3.5,1.1,0,5.4,1.1,1.2,1.9,2.7,1.1,3.2,4.9,4.7,1,3.9,0.6,1.8,0,182.6,0,2,49.5,-56.1,0,23.9,2839.7,0,3323.6
"DOM_51",25.1,5.6,0.6,13.6,0,55.8,3.1,3.3,6.5,3.7,9.4,1.6,5.1,4.4,40.4,4.6,1,0.8,2.2,1.6,1.2,2.5,6.2,0.4,48.8,42.5,27.9,13.6,8.4,4.9,0.8,9.1,2.6,9.2,4.6,11.7,2.8,9.4,15.4,10,2.7,6,2.1,2.9,0,150.5,0,1.7,50.7,61.4,0,65.2,1975.7,0,2739.1
"DOM_52",65.6,15.3,0.5,19.3,0,161.6,9.5,15.4,21.9,15.3,26.8,7.5,14.2,10.2,73.4,12.6,2.6,2,5.9,4.2,3.1,6.5,12.4,0.4,78.4,204.3,102.6,168.7,47.1,36.8,2,15.6,3.1,4.2,5.3,7.6,3.3,10.4,14.2,13.4,3.2,10.7,1.7,5.6,0,690.4,0.1,4.8,129.5,3,0,4.8,980.3,0,3057.6
"DOM_53",2.7,0.7,0,0.3,0,5.6,0.7,0.6,0.9,0.7,1.6,0.4,0.8,0.9,1,0.6,0.3,0.1,0.4,0,0.1,0.6,1.1,1.2,2.3,32.8,6.3,0.7,0.1,2.7,77,1.5,1,26.6,4.1,79.4,1.7,9.7,6.4,8.5,1.6,2.2,0.5,0.8,0,53.7,0,0.1,1.6,2.5,0,1.3,65.5,0,411.7
"DOM_55T56",20.5,5.6,0.6,11.3,0,17.2,2.2,1.1,2.9,3.2,7.3,2.1,2.3,2.2,30.8,0.9,0.7,0.4,1.2,0.1,0.3,1,1.4,1.9,17.3,98.8,79.3,6.2,32.6,3.7,0.6,8.8,4.7,7.3,12.2,37.9,5.4,39.2,12.6,59.4,41.2,33.7,15.8,4.5,0,2932.3,0.9,289.5,5.5,-0.2,0,410.3,16.9,0,4293.5
"DOM_58T60",2.6,1.2,0.1,2.1,0,21.5,1.1,1.1,5.7,1.2,4.9,1.8,3.2,1.3,5.6,0.7,0.4,0.2,0.7,4.1,0,0.6,1.2,0.8,6.1,123.2,9.7,6.5,3.2,14.1,2.7,7.5,34,51.1,22.3,70.6,20.5,79.6,33.2,20.2,21.1,12,8.4,8.1,0,402.5,10.8,2.6,74.6,2,0,6.3,142.1,0,1257.3
"DOM_61",18.1,7.2,0.8,11.4,0,37,3.6,4.9,7.8,6.7,10.2,1.6,4.1,4.9,29.4,2.8,1.7,1.1,1.9,1.6,0.9,4.3,5.2,1.1,17.6,193.9,24.4,9.6,8.2,22.8,4.3,22,80.3,1638.5,64.3,153.7,24.9,91.9,58.1,87,24.1,32.6,4.9,18.1,0,2715.4,14.3,0.4,44,5.2,0,28,277.2,0,5834.1
"DOM_62T63",5.3,2.9,0.7,41.6,0,91.9,8.8,8.5,14.8,21.3,33.4,13.5,2.9,8.2,79.2,10.5,2.3,0.7,6.6,0.7,2.6,6.9,8.8,2.9,11.3,218.1,40.7,9.6,10.2,28.1,1.9,15.1,13.3,74.3,152.1,235.3,31.6,112.7,50.7,87.1,10.3,18.3,17.3,3.7,0,169.5,0.1,15.1,868,3.7,0,0.6,169.7,0,2743.4
"DOM_64T66",220.6,48.4,8.5,117.3,0,245.2,23.4,33.3,55.9,145.6,61,6.8,30.3,26.3,194.4,16.8,6.8,3.9,10.7,0.1,4.7,24.8,86.4,13.1,325.8,846.6,180.5,33.8,22.2,95.4,4.3,82,24.3,127.6,70,1516.4,473.1,240.3,258.8,133.2,113.7,112.3,38.8,30.3,0,3779.3,0.3,127.1,11,20.7,0,28.5,408.7,0,10489.2
"DOM_68",34.2,17.1,0.5,8.9,0.1,129.9,23.2,9.8,16.9,12.1,20.2,4.8,12.3,10,20,7.8,3.5,1.7,5.7,0.2,1.6,21.2,10.2,1.8,261,1120.7,56,3.1,58,66.9,7.7,275.7,27.5,101.9,69.6,271.2,170.4,273.3,137.4,70.5,135.1,78.5,28.9,85.5,0,8574.9,0,0.3,103.4,1.5,0,61.1,62.3,0,12476.4
"DOM_69T75",92.3,24.6,48.4,349.1,16.2,626.9,56.8,89.7,89.3,162.8,213.3,71,36.6,76.6,964.6,51.5,10.8,5,45,23.4,12.5,36.5,62,19.8,780.8,1601.8,115,20.3,44.2,76.2,25.9,114.2,89.4,333.1,209.1,659.7,305.1,886.1,303.1,148.9,87.7,94.1,71,57.3,0,923,0.4,73.3,856.6,10.7,0,15.4,465.5,0,11552.9
"DOM_77T82",125.7,50.6,6.1,141,0,290.6,17,53.2,58,81.4,92.1,7.5,18,52.2,361,20.3,3.9,2.2,13.9,0.7,8,19.4,29.5,9.8,436.8,747.7,253.7,80.4,106,96.9,16.6,88.2,52.5,338.5,99.6,553,119.3,254.7,252.6,243.4,68.5,75.7,46.8,26,0,469.2,1.4,40.9,33.9,10.7,0,14.3,433.1,0,6422.7
"DOM_84",8.9,1.5,0.3,4,0.1,29.3,1.3,1.9,4.1,3.3,3.9,1,2.4,1.9,16.9,1.4,0.3,0.2,1.9,0.5,0.3,0.9,1.4,1.4,16.4,63.1,10.3,12.4,4.3,7,0.4,5.5,2.8,10.6,3.7,9.7,4.9,10.9,4.7,16.7,2.7,9.2,3.5,2.3,0,249.9,35.6,7581,20.2,0.4,0,3,71.6,0,8251.9
"DOM_85",2.4,3.5,0.2,6.5,0.1,13.9,1,2.4,2.4,6.8,5,0.5,1.2,2.1,15,1,0.1,0.1,0.7,1.8,0.2,0.7,1.2,0.5,8.7,27.8,2.1,0.6,1.8,1.6,0.2,2.8,2,6.1,3.6,16.4,4.9,10.3,5.3,7.2,7.7,7.3,0.7,5.6,0,2961.2,66.8,3945.5,7.4,0.1,0,20.5,9.9,0,7203.7
"DOM_86T88",19.8,4.6,0,0.9,0,7.8,0.6,0.8,1.4,0.1,1.8,0.5,0.7,0.8,3.4,0.5,0.2,0.1,0.3,0,0.1,0.3,0.1,0.7,6.4,11.9,3.3,0.5,0.4,0.3,0.2,2.1,0.7,10.3,1.6,11.8,0.4,6.3,5.3,17.6,0.8,232.2,0.2,17.3,0,2848.6,661.3,2675.4,1.9,-0.1,0,17.8,2.7,0,6582.7
"DOM_90T93",1,0.3,0.1,3,0,24.9,1.2,0.3,1.9,1,8.1,5,0.9,0.7,6.5,0.4,0.2,0.1,0.5,2,0,0.6,0.6,0.2,4.1,41.3,2,0.6,1.8,0.9,0.2,2.4,30.3,11.2,11.2,25.4,3.2,45.1,4,29,2.3,2.6,77.8,2.5,0,584.7,17,19.2,46,0.2,0,44.4,43.3,0,1112.1
"DOM_94T96",2.8,0.6,0,7.6,0,9.9,1.2,1,1.9,1.9,3.1,0.8,1,0.9,9.2,0.7,0.3,0.2,0.8,1.3,0.1,0.7,0.8,0.1,1.8,43.8,2.4,5.3,3.7,1.1,0.1,50.1,3.2,3.5,17,11.1,5.3,66.9,11.8,3.1,1.2,24.7,5.8,38.2,0,2459.5,148.1,37.8,23.3,0.1,0,23.3,17.3,0,3056.1
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_01T02",105.9,1,0,0.2,0,313.2,1.2,5,2.5,0.1,0.5,0.1,0.5,0.1,0.5,0,0,0,0,0,0,0.4,0.3,0,1.3,0.7,0.2,0.8,0.3,0.4,0,11.8,0,0,0,0.1,0.1,0.1,1,1.2,0.1,0.9,0.3,3.7,0,214.1,0,10.7,19.3,0,7.3,0,0,706,0
"IMP_03",0.6,1.5,0,0,0,11.8,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0.1,0.3,0,0.6,0,0,24.1,0
"IMP_05T06",5.8,1.9,4.5,7.9,0,44.3,1.2,0.3,6,4054.9,50.4,5,1.3,42.1,90.2,0.8,0.2,0.3,0.6,0.1,0.1,0.3,283,0.1,3.3,3.9,28.3,13.8,4.5,1,0,2,0.2,0.1,0.4,2.4,0.4,1.7,2.3,1.1,0.7,1,0.1,0.9,0,241.9,0,0,7.2,0,0.4,0,0,4919,0
"IMP_07T08",6,0,0.2,140.2,0,4.1,0.3,0.3,0.9,1.5,27.9,0.2,2.7,34.8,438.8,12.7,2.1,1.3,3.8,0,0.3,3.6,0.3,0,41.8,1.2,0.3,0.2,0.1,0.1,0,0.3,0.1,0,0.1,0.1,0,2.6,0.3,0.2,0,0.2,0.2,1.2,0,1.9,0,0,0.5,0,0.1,0,0,733.7,0
"IMP_09",0,0,0.1,0,0,0.1,0,0,0,0.3,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,4,0.2,0,0,0,6.4,0
"IMP_10T12",93,65.9,0.1,1.4,0,240.6,2.6,0.6,2.3,1.3,7,2.2,2.6,0.7,4.1,0.5,0.1,0.1,0.3,0,0.1,0.5,0.2,0.2,4.4,15.3,0.9,4.8,0.5,0.3,0,87.2,0.3,0.3,0.2,0.5,0.6,0.5,0.9,4,1,4.3,1,2.1,0,1259.4,0,9.4,6.8,0,31.5,0,0,1862.5,0
"IMP_13T15",3.7,7.4,0,1.7,0,7.6,122.8,0.4,14.4,0.8,8,1.6,10.6,1.8,3.6,0.4,0.3,0.2,0.6,0,0.1,18.8,0.2,0.2,63,16.6,1.3,5.6,0.9,0.9,0.1,4.7,1.2,0.1,0.1,9,0.3,2.1,1.8,6.8,1.1,5.3,2.2,8,0,1381.1,0,0,11.1,0.1,21.1,0,0,1749.5,0
"IMP_16",4.7,0.4,0.1,0.2,0,8.9,0.3,56.5,15.2,0.1,0.5,0.1,0.3,1.4,0.5,0.2,0.1,0,0.1,0,0.1,8.4,0.2,0.1,74,4.9,0.2,0.1,0.1,0.2,0,0.1,0.2,0,0,0.2,0,0.1,0.7,0.4,0,0.2,0,1.3,0,9.2,0,0,5.2,0,1.4,0,0,196.9,0
"IMP_17T18",4.4,0.9,0,0.9,0,63.7,2.8,3.3,115.4,1.6,12.7,5.4,3.9,3.7,1.6,0.6,0.5,0.3,0.8,0,0.2,1.1,0.3,0.2,6,59.4,2.9,1,0.7,5.8,0.4,3.3,31.4,6.9,1.4,14,3.5,11,6.5,4.9,3.7,3.6,1.2,6.5,0,147.1,0,0.1,4.8,0,4.1,0,0,554.7,0
"IMP_19",222.2,64.8,2.8,78.6,0,102.7,5.1,9.9,40.2,175.8,101.4,2.3,26,36,185.7,5.4,0.9,0.7,3.8,0,0.9,5.7,142.3,2.7,110,113.4,925.8,326.1,170.1,17.1,0.6,22.3,2.3,1.9,1,5.4,4,27.6,52.8,38,8.7,34.5,3.7,12.9,0,1307.8,0,0,2.9,0,15.4,0,0,4420.6,0
"IMP_20",289.2,9,1.6,86.1,0,140.2,23,30.8,81.6,70.1,352.4,12.3,223.5,30.3,242.8,11.7,3,1.9,8,0.1,1.3,16.7,7.1,2.2,136.8,36.5,53.2,16.4,8,4.6,0.3,11.9,7.1,1.1,1.4,3.7,5.7,12.6,21,18.1,11.9,46.3,9.8,27.5,0,729.5,0,0.1,7.7,0.1,5.7,0,0,2822.1,0
"IMP_21",17.4,6.2,0,3.4,0,10.5,0.3,0.4,1.1,1,11.5,32.2,2.2,0.4,5.4,0.2,0.1,0.1,0.2,0.2,0,0.2,0.1,0,2.5,1.5,0.6,0.2,0.2,0.1,0,0.3,0.4,0.2,0.2,0.4,0.3,0.9,0.6,5.7,0.4,34.8,0.2,1,0,208.9,0,0.1,4.2,0,3.7,0,0,360.5,0
"IMP_22",38.5,10.4,0.2,15.9,0,138.3,5.1,2.6,14.3,7,39.2,8.2,53.5,4.5,31.8,5.4,0.7,0.6,4,0.1,3,7.3,0.9,0.1,102.4,140.7,69.1,0.7,1,1.7,0,2.5,2,2.8,2.6,4.8,0.9,5.9,8.9,4.3,1.8,7.1,0.2,4.6,0,177.4,0,0,67,0.3,0.3,0,0,1000.5,0
"IMP_23",2.2,0.1,0,6.5,0,12.4,0.2,0.8,0.8,0.3,4.3,0.8,0.9,54.1,17.9,1.6,2.6,2,1.1,0,0.3,1.2,0.4,0,246.2,12.3,0.5,0.5,0.1,0,0,1.7,0.1,1.9,0.1,0.2,0.1,1.2,0.3,0.6,0.7,0.5,0.1,0.7,0,31.9,0,0.1,8.5,0,0.1,0,0,418.9,0
"IMP_24",9.4,1.4,0.5,11.6,0,13.7,0.5,1.5,5.4,16,8.6,0.2,12.1,10.4,334.2,197.6,13.1,14.6,56.1,7.8,20.7,32.9,1.2,0.1,519.3,5.4,4.3,1.4,0.5,0.6,0,0.2,1.8,2.4,0.3,0.8,1.9,12.1,26.8,1.2,0.2,1.3,0.1,0.5,0,14.3,0,0,19.6,0.3,0.2,0,0,1385.2,0
"IMP_25",7.6,4.1,0.4,32,0,36.2,2.5,3,8.5,3.1,8.3,0.3,3.8,5.5,86.5,21.6,2.5,2.1,8,0.4,2.9,7.2,1.8,0.1,378.9,39.9,7.2,1.2,1.8,1.5,0,2.9,1.2,0.8,0.9,2.9,1.9,2.4,9.9,4.6,1.2,3,0.4,4.2,0,100.1,0,0.1,203.1,0.4,0.4,0,0,1019.3,0
"IMP_26",6,4.2,0.2,4.6,0,4.3,0.9,0.5,1.8,1.1,2.2,0.5,1.3,0.7,8.1,0.5,5.9,0.7,0.8,0.5,0.4,1.1,0.8,0.3,6.3,166.1,8.1,1.3,1.7,5.2,1.3,4.3,3.9,18.2,66.7,30,5.6,19.5,17.3,47,7.6,31.8,3.4,2.7,0,2046.2,0,21,635.6,0.3,6.5,0,0,3204.8,0
"IMP_27",3,3.1,0.1,3.2,0,2.6,0.2,0.5,1.1,1.1,2.1,0.6,0.8,1,7.5,0.8,3.5,4,4.3,0.1,1.3,1.3,1.7,0.1,36.1,85.2,2.5,1,0.7,0.8,0,0.5,1.8,6.5,4.2,0.9,1.8,4.4,8,4.7,0.8,9.7,1.5,2.4,0,214,0,0.7,216,0.3,2.8,0,0,651.1,0
"IMP_28",27.9,19.6,3.7,92.5,0.4,33.4,2.1,5.9,26.1,18.5,20.8,0.7,12.9,13.6,178.7,8,5.9,3.5,41.3,0.2,7.8,18,11.4,1.3,102.3,368.1,27.3,13.9,28.5,9.3,0,4,2.1,3.2,33.6,6.3,9.8,32.7,67.6,61.9,3.4,9,6.6,3.8,0,184,0,0.1,1588.3,1.3,0.3,0,0,3121.7,0
"IMP_29",1.3,0.5,0.1,5,0,2.4,0.2,0.3,0.8,0.8,0.9,0.1,0.6,0.4,4.8,0.6,0.3,0.2,0.8,17.8,0.3,0.5,0.3,0,7.6,9.6,1.4,0.7,0.7,0.3,0,0.3,0.2,0.3,1,0.6,0.3,1,1.8,12.6,0.2,0.6,0.2,0.2,0,1331.2,0,0.2,1045.4,226.8,3.9,0,0,2686.1,0
"IMP_30",9.6,0.2,0.8,9.9,0,0.5,0,0.1,0.3,0.2,0.3,0,0.2,0.1,14.5,0.4,10.8,7.6,1.4,54.3,19,2.2,0.1,0.6,4.5,174.4,59.9,81.9,108.5,5.3,0,0.7,0.1,0.3,0.8,0.2,0.8,11.1,48.8,52.5,0.1,0.4,0.5,1.2,0,130.5,0,0,817.3,0.2,0.1,0,0,1633.4,0
