"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"IMP_35",1.8,0.4,0.1,7.1,0,3.5,0.4,1.6,4.1,1.1,2.3,0.1,1,1.3,11.2,0.9,0.1,0.1,0.4,0.1,0.1,0.3,43.7,1.2,2.3,5.7,3.6,0.7,0.6,0.9,0,1.3,0.2,1.2,0.2,1.2,1.7,0.9,0.8,3.2,1.8,2.1,0.2,0.5,0,27.9,0,0,1.7,0,0.3,0,0,141.9,0
"IMP_36T39",0.3,0,0,0.3,0,0.3,0,0.1,0.3,0.3,0.4,0,0.2,0.1,0.5,0.2,0,0,0.1,0,0,0.1,0.1,0,0.9,0.4,0.2,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,1.6,0,0,1.1,0,0.1,0,0,8.5,0
"IMP_41T43",0.3,0.1,0,1.1,0,0.6,0.1,0.2,0.3,0.1,0.7,0.1,0.1,0.7,1.1,0.2,0.1,0,0.2,0,0,0.2,0.2,0.1,3.5,1.6,0.7,0.1,0.2,0.2,0,0.1,0.1,0.2,0.2,0.3,0.2,0.5,0.5,0.3,0.1,0.2,0.1,0.1,0,2.7,0,0,4.4,0,0.8,0,0,23.8,0
"IMP_45T47",131.3,31.5,2.8,109.3,0.1,192.8,37.9,21.5,74.5,66,108.5,20.1,66.5,28.4,136,28.1,8.8,5.8,24.1,3.2,5.9,25.2,55.4,7,305.6,167.4,134.6,29.9,30.2,9.2,0.6,42.9,9.9,12.4,27.9,21.1,10.6,25.3,39,52.5,17.1,59.7,3.7,13.8,0,1695,0.1,7.8,634.7,0.1,62.4,0,0,4604.1,0
"IMP_49",39.1,7.9,1.2,50.4,0,79,7,18.6,31.9,42.4,30.6,4.1,15.4,17.5,55.7,13.1,2.5,2,7.3,1,1.8,7.9,41.8,2.1,100.2,162.7,57.1,16.5,6.2,2.3,1.7,10.4,2.5,1.3,4.9,4.1,2.4,7.7,14.2,12.9,7.4,12.5,1,3.6,0,551.8,0,1.5,113.6,3.1,104.4,0,0,1686,0
"IMP_50",2.6,17.5,0.8,29.2,0,20.6,0.5,0.7,3.3,45.5,29.3,0.3,0.9,4.1,31.1,4.5,0.2,0.1,0.5,0.1,1.1,0.6,3,0.1,7.7,2.6,14,908.5,3.9,1.3,0.1,0.8,0.1,0.1,0.5,0.3,0.2,0.4,1.7,1.9,0.3,0.7,0.1,0.9,0,74.7,0,0.1,10.6,307,22.2,0,0,1557.2,0
"IMP_51",3.8,1.6,1.8,7.2,0,17.2,1.5,1.1,3.1,3.4,7.5,1.6,3.3,1.6,7.3,3.1,1,0.5,2.2,0.1,0.4,1.3,4.6,1.6,14.5,12.5,3.8,1.1,53.1,2.1,10.7,3.7,2.1,6.1,6.4,12.5,0.7,14.6,3.2,46.8,1.6,1.2,1.1,0.3,0,304.8,0,0.1,7.3,0,62.6,0,0,650,0
"IMP_52",7.2,4.5,0.3,11.8,0,23.1,2.5,7.8,8.5,10.3,9.2,2.3,4,3.5,14.2,3.5,0.8,0.6,2.1,0.2,0.5,2,9.1,0.4,21.5,73.6,50.4,100.1,24,20.5,0.2,2.2,0.5,0.8,1.5,1.2,0.5,1.4,2.4,3.1,0.9,2.4,0.2,1.1,0,180,0,0.4,33.1,7,4.3,0,0,661.6,0
"IMP_53",0.1,0,0,0.1,0,0.1,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.2,0.3,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,1.2,0,0,0.4,0,2,0,0,6.1,0
"IMP_55T56",0.3,0.1,0,0.2,0,0.5,0,0,0.1,0.1,0.2,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0.1,0,0.6,0.4,0.4,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0,0.1,0.1,0,0,4.2,0,0,0.7,0,434.4,0,0,444.4,0
