"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_49",158.1,36,2.6,85.5,0.1,420.1,18,23.8,38.3,87.9,55.5,10.8,28.6,32.6,91.5,26.1,5.6,4.3,12.7,2.9,7.2,14.8,21.5,0.8,199.8,426,141,58.8,28,13.5,4,42.8,9.9,12.8,8,22.9,3.7,36.6,56.9,23,7.3,19.5,8.9,14.8,0,2164.7,0.1,21.3,398.7,-3.8,0,86.1,757.3,0,5748.3
"DOM_50",12.7,5.5,2,26.9,0,62.5,1.7,4.6,3.4,3.3,43.8,0.9,2.3,7.3,14.2,3.9,0.5,0.4,1.1,0.3,1.9,1.3,2.3,0.1,17.6,68.5,21.9,319.5,4.7,1.1,0.2,3.8,0.6,1,0.9,0.9,0.3,3.2,5.4,2,0.5,1.7,0.8,1,0,139,0,1.9,35.8,73.7,0,10.3,935,0,1854.3
"DOM_51",15.1,13.3,1.7,7.7,0,35.5,2.1,1.3,2.8,3.5,6.5,1.3,3.1,2.6,9.2,2.5,0.8,0.5,1.4,0.3,0.8,1.5,2.9,0.2,25.5,62.9,18.9,10.1,29.4,5.6,4.3,6.3,1.6,8.4,4.9,10.3,1.1,19.6,12.3,16.4,2,2.6,14,1.2,0,309.2,0,1.7,33.4,16.8,0,50.5,742.4,0,1528.2
"DOM_52",34.5,9.6,0.5,17,0,112.3,5.2,4.2,8.5,9.8,15.8,4,7.8,6.4,23.5,6.5,1.6,1.2,3.5,0.8,2.1,3.6,4.7,0.2,47.7,171.2,75.6,65,36.5,29,1.3,12.5,2.6,5.6,3.9,7.1,1.5,13.5,13.2,6.1,2.3,6.5,2.8,4.5,0,471.5,0.2,5.6,106.2,2,0,5.7,414.7,0,1797.5
"DOM_53",0.5,0.2,0,0.1,0,1.1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.2,0.1,0.1,0,0,0,0,0,0.1,0.1,0,0.4,4.7,1.4,0.4,0.1,0.5,14.6,0.3,0.2,6.3,0.4,8.7,0.2,2.1,1.2,0.3,0.2,0.4,0,0.1,0,14.7,0,0,0.9,2.5,0,0.8,164.6,0,229.7
"DOM_55T56",10.8,5.2,0.4,9.8,0,17,2,1.2,1.8,3.1,6.5,1.3,2.2,2.7,7.3,1.3,0.9,0.4,0.9,0,0.6,0.9,0.8,0.7,8,59.5,45.9,3.5,12.9,8.5,1.7,5.2,6,8.8,6.1,14.3,2.1,31.8,9.3,26.5,10.8,14,10.9,2.3,0,1535.8,0.2,163.6,1.7,-0.1,0,324.7,3.6,0,2395.4
"DOM_58T60",1.6,1.1,0.3,0.8,0,5.9,0.9,0.2,1.4,0.6,2.3,0.6,0.8,0.9,0.6,0.3,0.4,0.2,0.4,1.3,0.1,0.3,0.9,0.3,1.7,42.7,6.1,2.8,2.1,7.5,1.4,2.6,11.6,25.2,23.3,26.5,5.2,115.3,50.1,6.3,7.9,2.1,0.8,4.3,0,208,7.3,1.2,10.2,0.2,0,4.9,101.9,0,701.4
"DOM_61",10.4,6.5,0.3,3.6,0,17.4,2.1,1.1,2.1,3.4,6.8,0.9,2.6,3.4,3.1,1.9,1.7,0.9,0.8,0.5,0.3,2.1,3.6,0.2,9.6,107.8,19.7,6.6,7.7,17.3,0.8,17.3,10.2,627.2,53.8,71.3,7.2,115.7,62.5,19.3,12.8,15.8,0.2,9.3,0,1659.6,3.5,0.2,14.8,0.9,0,14.6,293.5,0,3254.9
"DOM_62T63",7.7,0.7,0.1,28.9,0,63.7,4.3,3,4.2,25.9,29.8,6.7,1.4,7,19.8,5.1,2,0.6,0.7,0,0.4,4.7,4.5,0.7,5.3,107.4,5.2,5.5,9.4,11.3,0.5,8.7,7.8,34.5,71.8,128,3.1,88.3,37.8,44.4,2.9,6.6,4.3,2,0,145.4,0,19,431.9,0.4,0,0.4,126.6,0,1530.6
"DOM_64T66",143.7,68,3.7,94.9,0,212.3,16.3,16.4,35,197.2,70.7,5.8,22.5,38.1,72.1,14.4,6.8,3.5,5.1,0,3.8,14.3,57.6,5.8,222.4,512,153.2,33,23.8,64,3.6,75.7,25.9,128.4,32.9,665,149.9,181.1,206.4,46.8,62.4,73.5,19.4,17.4,0,1633,0.2,123.6,3.1,3.7,0,23.6,260,0,5852.1
"DOM_68",20.9,3.3,0.1,11.8,0,80.9,9.7,4.9,11.3,33.3,15.5,1.7,7.8,4,5.9,3.7,2.7,1.2,4.5,0.1,1.1,13.1,9,0.9,124.7,553.8,90.8,23.1,16.2,51.6,3.5,146.9,23.9,74.3,33.3,180.5,49.5,218.1,99.4,13.9,64,52.8,12.2,50.7,0,4796.2,0,0.1,52.8,0.2,0,45,58.1,0,7083.3
"DOM_69T75",141,27.8,19.1,189.4,24.1,363.8,30.3,20.4,24.3,83.9,159.6,25.5,32,45.5,204.7,21.1,11.1,5.4,15.9,16.7,3.3,17.8,63.3,10.1,431.6,758,81.4,20.6,30.5,49.5,32.4,72.9,56.5,293.1,130.1,309.5,76,742.8,269.2,58.7,52.4,52.2,24.9,34.6,0,474.6,0.1,63.2,442.7,1.1,0,11,319.8,0,6445.6
"DOM_77T82",172.2,79.9,1.4,86,0,134.7,7.3,9.2,12.2,39.5,55.6,2,12.8,23.6,78,7.3,3.8,2.1,4,0.2,1.4,9.5,31.1,3.8,210.4,443,108.1,106,64,58.9,8.6,73.4,24.4,227.4,58.2,229.9,32.2,234,219.6,82.4,37,28.7,13.6,12.5,0,320.1,0.7,33.9,20.6,1.3,0,10,147,0,3583.3
"DOM_84",6,1.4,0.2,3,0.2,19.3,0.9,0.8,1.3,4,3.9,0.7,1.1,1.4,3.6,0.9,0.3,0.2,0.8,0.3,0.2,0.7,1.2,0.1,10.8,37.3,8.8,6,3.6,3.9,0.4,4.4,1.9,6.2,2.5,6.9,2,14.9,5.2,4.6,1.9,4,0.9,2.1,0,154.6,23.6,4271.1,13.8,0.5,0,2.6,38.5,0,4685.3
"DOM_85",2.6,3.7,0.1,3.7,0.1,7.2,0.5,0.5,0.7,4.9,3.1,0.2,0.7,1.2,3.7,0.4,0.1,0.1,0.2,0.9,0,0.3,1.1,0.2,5.9,18.1,1.8,0.5,1.5,1.6,0.2,2.2,1.4,5.5,2.4,12.6,1.4,11.7,6.3,3.6,7.2,2.7,0.3,3.3,0,1586.5,26.6,2801.8,3.2,0.2,0,18.4,3.4,0,4566.9
"DOM_86T88",9.8,1.9,0,0.7,0,5.2,0.7,0.5,1.1,0.1,1.2,0.5,0.5,0.6,0.5,0.3,0.1,0,0.2,0,0.1,0.2,0,0.4,3.1,2.9,2,0.2,0.1,0.4,0.1,1.1,0.5,2.7,0.9,7.5,0.2,5.8,4.4,6.1,0.5,64.6,0.1,10.8,0,1793.8,142.3,1735.4,0.6,0.1,0,21.1,0.8,0,3832.9
"DOM_90T93",0.5,0.2,0,0.3,0,0.9,0.1,0,0.7,0.1,0.2,0.1,0.1,0.1,0.3,0,0,0,0,0,0,0,0.1,0,0.8,2.2,0.7,0.2,0.2,0.2,0,0.8,22.2,0.5,16.9,2.6,0.1,175.5,1.6,13.1,0.3,0.3,9.8,1.1,0,315.2,16,19,0.7,0,0,35.3,28.8,0,667.6
"DOM_94T96",2.5,0.4,0,5.2,0,8.6,0.9,0.4,3.2,2.2,3.2,0.6,0.7,0.8,3.2,0.5,1.4,0.5,1.9,0.7,0.7,1.1,0.7,0.1,2.2,21.7,1.5,1.6,1.3,1.1,0.5,39.3,10.3,18.1,7.3,28.3,2.7,34.5,7.3,51.3,4.5,13.1,18.5,13.2,0,1110.6,262.6,91.6,22.8,-0.1,0,16.6,13,0,1834.6
"DOM_97T98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_01T02",32.8,0.8,0,0.1,0,148.3,0.4,2.1,1.2,0.1,0.2,0,0.3,0.1,0.1,0,0,0,0,0,0,0.2,0.2,0,1.1,0.5,0.1,0.4,0.1,0.3,0,8.8,0,0,0,0.1,0,0.1,0.1,0.5,0.5,0.2,0.7,1.7,0,163.8,0,8.9,12.9,0,6,0,0,394.2,0
"IMP_03",0.2,0.3,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.1,0,0.4,0,0,6.8,0
"IMP_05T06",1.3,0.5,2.8,2.4,0,12.6,0.3,0.1,0.9,1562.9,13.7,3.8,0.5,10,27.5,0.3,0.1,0.1,0.2,0,0,0.1,55.5,0,1.1,1.9,7.2,4.2,0.7,0.3,0,0.8,0.1,0.1,0.2,0.5,0.1,0.9,1,0.2,0.2,0.2,0,0.2,0,140.1,0,0,4.1,0,0.5,0,0,1860.4,0
"IMP_07T08",4,0,0.1,43.5,0,2.1,0.1,0.1,0.3,0.9,4.2,0,1.2,14.7,49.1,4,0.5,0.5,1.2,0,0.1,1.1,0.4,0,28.3,0.9,0.1,0.1,0,0.1,0,0.5,0.1,0,0,0.3,0,2.4,0.4,0,0,0.1,0.4,0.6,0,3.6,0,0,0.3,0,0.2,0,0,166.6,0
"IMP_09",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2.1,0,0,0,0,2.7,0
"IMP_10T12",33.7,25,0.1,1,0,75.2,1.1,0.1,0.6,0.9,2.6,0.6,0.8,0.4,0.7,0.2,0,0,0.1,0,0.1,0.2,0.1,0.1,2.6,3.6,0.8,1.7,0.2,0.2,0,37.7,0.2,0.2,0.1,0.8,0.3,0.6,1,1,0.7,1.7,1.2,1.1,0,675.6,0,5,4.7,0,26.6,0,0,911.4,0
"IMP_13T15",2.7,9.8,0,1.1,0,4.5,59.3,0.2,4.9,0.5,2.1,0.2,10.1,1.1,0.6,0.5,0.2,0.1,0.5,0,0.2,10.1,0.1,0.1,30,5.9,1.8,3.7,0.9,0.6,0.2,10.6,0.7,0.2,0.1,3.9,0.1,1.2,3,2.1,0.5,4,7.8,5.8,0,777.6,0,0,7.1,0.1,17.1,0,0,994.3,0
"IMP_16",4.2,1.3,0,0.2,0,4.2,0,8.7,3.3,0.1,0.5,0,0.1,0.2,0.1,0.1,0,0,0,0,0.1,4.4,0.1,0,34.2,11.4,2.1,0.6,0.5,0.1,0,0.1,0.3,0.1,0,1.3,0,0.1,0.2,0.2,0,0.1,0.1,0.5,0,4.3,0,0,3.3,0,1.3,0,0,88.4,0
"IMP_17T18",2.5,2.3,0.1,1.6,0,43.2,1.1,1.2,55.6,5.7,11,3.3,1.8,5.1,0.6,0.5,0.4,0.2,0.4,0,0.2,0.6,0.3,0,6.4,40.6,6.8,1.7,1.4,4.6,0.6,2.9,23.8,8.1,1,7.4,1.3,12.8,6.7,2.1,3.5,1.2,1,4.5,0,153.7,0,0.1,3.7,0,3.4,0,0,436.9,0
"IMP_19",41.5,14.2,0.3,13.4,0,13.6,1.1,1.1,3,16.8,11.2,0.2,5.2,6,8.5,0.9,0.2,0.2,0.4,0,0.2,1.1,2.7,0.2,18.2,21.5,162.1,37.8,20.2,1.2,0.2,3.4,0.6,0.7,0.3,1.3,0.8,9.2,16.8,3.4,1.3,4.7,1.6,2.5,0,276.1,0,0.1,1.2,0,10.5,0,0,737.2,0
"IMP_20",131.7,4.3,1.1,54.4,0,61.9,12.6,7.2,20.2,32,136.6,2.3,75.4,14.3,30.1,5.4,1.1,0.9,2.5,0,0.5,7.7,2.1,0.8,76.2,35.8,20,3.4,1.8,2.1,0.4,6.1,4.7,1.3,0.9,6.5,2.8,12.6,20,5.1,6,27.1,14.9,14.4,0,557.7,0,0.1,6.3,0,3.9,0,0,1435,0
"IMP_21",4.7,1.6,0,1.4,0,2.9,0.2,0.1,0.4,0.6,4.6,16.6,0.8,0.4,0.9,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,1.6,1.3,0.5,0.1,0.1,0.1,0,0.2,0.2,0.2,0.1,0.4,0.1,0.7,0.6,0.9,0.2,3.4,0.2,0.4,0,84.9,0,0.1,2.6,0,2.8,0,0,137.4,0
"IMP_22",23.1,9.9,0.1,10.5,0,41.3,3.2,0.6,3.9,6,18.7,2.1,27.4,2.9,4.9,3.1,0.8,0.6,1.2,0.1,1.5,3.6,1,0.1,47.5,79,61.4,2.1,2,0.6,0,1.5,1.2,2.2,1.7,2.1,0.3,5.7,8.6,1.5,0.5,4.2,0.2,4.1,0,141,0,0,16.1,0.2,0.2,0,0,550.4,0
"IMP_23",1.3,0.1,0.1,2.8,0,11.4,0.1,0.5,0.2,0.4,2.3,0.2,0.5,29.7,2.9,0.8,1.5,1.1,0.3,0,0.2,0.6,0.5,0,119,14.8,1.7,0.3,0.1,0,0.1,1.1,0.1,0.6,0.1,0.2,0,1.6,0.3,0.3,0.1,0.3,0.2,0.4,0,28.9,0,0.1,5.3,0,0.1,0,0,233.6,0
"IMP_24",2.8,0.9,0.7,10.9,0,11,0.2,0.3,1,5.4,4,0.1,4.7,2.7,112.4,58,1.9,3,16.2,2.2,6.4,9,0.7,0.1,137.8,4.1,2.2,0.6,0.3,0.3,0.1,0.1,0.5,0.4,0.1,0.3,0.2,10.7,16.1,0.3,0.1,0.3,0.1,0.3,0,9.5,0,0,9.7,0.1,0.2,0,0,449.1,0
"IMP_25",4.1,3.3,0.4,18.5,0,25.9,1,0.6,3.3,12.5,3.9,0.1,4.9,2.2,14.8,8,1,0.8,3.2,0.2,2.1,3,2.3,0.1,185.3,34.5,6.9,1.1,2.3,2,0.1,2,0.5,1.5,0.5,0.8,0.6,1.8,6.8,2,0.5,1.8,0.6,2.3,0,94.5,0,0,92.2,0.3,0.3,0,0,557.3,0
"IMP_26",1.9,1.6,0.2,3.8,0,1.7,0.3,0.1,0.5,0.7,1.1,0.1,0.7,0.4,1.8,0.2,3.6,0.5,0.6,0.1,0.2,0.4,0.8,0.1,6.3,37,4.3,1,1.7,0.9,0.7,0.3,0.7,10.7,6.1,1.8,0.6,4,4,9.1,0.5,8.7,0.2,0.5,0,339.9,0,6,94,0.3,5.3,0,0,566.1,0
"IMP_27",5.2,9.2,0.3,8.1,0,3.2,0.2,0.3,1.2,2.2,2.4,0.3,1.2,1.7,6.7,0.7,4.7,5.2,10.6,0.1,0.5,2,8.2,0.4,80.4,171.9,11.1,3.3,1.7,1.5,0,0.2,2.5,14.8,6.4,0.5,2.9,11.1,19.8,8.7,0.6,18.8,0.3,2.7,0,300,0,2,265.6,0.3,2.6,0,0,1004.5,0
"IMP_28",15.3,19.7,2.8,83.2,0.7,26.2,1.6,2.2,13.3,25.4,13.4,0.2,11.3,14.6,53.3,5.1,2.5,1.9,16.4,0.3,8.2,10.9,11.8,0.7,126.3,289.6,41.5,11.1,28,7.7,0,0.6,2,6.9,19.8,6.3,2,29.2,58.7,38.9,1.6,7.1,4.6,0.9,0,429.4,0,0.1,1311.2,0.9,0.3,0,0,2766,0
"IMP_29",0.7,0.6,0.1,6.8,0,1.3,0.2,0.1,0.3,0.7,0.5,0,0.4,0.5,1.1,0.2,0.2,0.2,0.4,29.7,0.3,0.3,0.3,0,5,7.7,1.6,0.4,0.4,0.2,0,0.1,0.1,0.4,0.4,0.4,0.1,0.9,1.6,2,0.1,0.4,0.1,0.1,0,1000.7,0,0.1,467.4,106.6,2.9,0,0,1644.6,0
"IMP_30",2.1,12.9,0.3,2.5,0,0.4,0,0,0.2,0.3,0.2,0,0.1,0.1,2,0.1,3.4,2,0.4,5.1,9.1,0.7,0.2,0,5.5,67.6,22.2,50.6,94,1.7,0,0,0.1,0.3,0.3,0.1,0,4.2,13.3,34.8,0,0.2,0.2,0.1,0,43.2,0,0,419.8,0.1,0.1,0,0,800.8,0
"IMP_31T33",1.3,1.4,0.2,3.8,0,4,0.9,0.4,1,1,1.2,0.6,0.9,0.8,3.3,0.4,0.2,0.1,0.3,0.1,0.2,1.7,1.5,0,12.1,7.4,5.2,1.1,1.3,1.5,0.1,1.4,0.8,4.2,0.5,3.2,0.3,3,4.2,1.8,1.2,1.4,0.6,1.8,0,161.1,0,0.4,35,0.2,13,0,0,288.2,0
