"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T02",814.4,5.5,0.7,0.3,0,1821,5.7,271.2,138.7,0,3.2,0.9,32.5,1.2,0.4,0.4,0.1,0,0.1,0,0.2,19.6,22.1,0,48.3,2.6,0.5,5.5,0.1,3.4,0,98.9,0.6,0,0,0.6,0.3,0.2,0.3,5.8,6.3,3.2,9,19.2,0,2076.2,0,106.9,249.5,-19.5,0,8.2,942.1,0,6706.4
"DOM_03",11.8,70.1,0,1.6,0,332.7,0.5,0.2,0.6,1,4.5,17.2,2,0.4,0.9,0.2,0,0,0.1,0,0,0.3,0.1,0,2,1.8,0.4,2.9,0.1,0.1,0,27.6,0.2,0.2,0.3,0.8,0.1,0.7,0.7,0.7,0.4,1.2,1.4,1.9,0,404.7,0,1.4,1.8,-11,0,2,864.7,0,1751.3
"DOM_05T06",1.2,0.5,0.7,0.8,0.2,3,0.1,0,0.1,89.5,1,0.2,0.1,2,6.7,0.1,0,0,0,0,0,0,11,0,1.1,1.2,5.5,1.7,0.7,0.1,0,0.2,0.1,0.2,0.1,0.2,0.1,1,0.8,0.1,0,0.1,0.1,0.1,0,17.4,0,0,14.7,0.4,0,0.2,3.9,0,167.1
"DOM_07T08",42.5,1.8,6.1,1356.1,0.9,41.4,2.5,2.5,6,30.1,89.3,1.7,39.8,136.8,1528.2,131.1,14.6,14.2,39.4,0.3,4.1,30.4,7.6,0.7,422.6,39.4,7.2,2.7,1.6,2.6,0.2,6.2,4.8,3.2,1.3,5.2,1.3,75.4,8.2,1.8,1.6,3,4.7,10.2,0,106,0,0.7,108.8,2.2,0,1.9,3565.9,0,7917
"DOM_09",0.2,0,1.8,0.1,0.5,0.1,0,0,0,0.1,0.2,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.8,0,0,54.6,0,0,0,1.5,0,60.8
"DOM_10T12",222.7,173.8,0.4,4.3,0,535,7.3,0.8,2.6,3.2,16,4,2.5,3.5,4.4,0.9,0.3,0.2,0.5,0.2,0.2,1.2,1.8,0.5,13.7,32.5,9.8,18.5,2.7,1.8,0.2,312.6,1.2,3.7,1.9,8.6,3.2,8.2,9.6,7.1,5.9,11.3,9,8.5,0,5159,0,35,32.9,215.1,0,46.6,2324.9,0,9269.7
"DOM_13T15",3.7,2.8,0.1,1.5,0,8.9,22.4,0.4,1.6,0.7,2,0.5,2.6,0.8,1.4,0.5,0.2,0.1,0.3,0.1,0.2,2.4,0.5,0.1,11,12.5,4.8,1.9,0.8,0.5,0.1,4.1,1,1.1,0.4,1.9,0.5,2.4,4.7,1.3,0.4,1.4,1.9,1.6,0,746.3,0,0.4,14.7,91.1,0,19.5,221.5,0,1201.3
"DOM_16",19.6,6.3,0.1,0.9,0,20.2,0.3,42.5,14.7,0.4,2.6,0.3,0.5,0.8,0.7,0.6,0.1,0.1,0.1,0,0.2,19.9,0.7,0,154.8,52.9,10.1,3.9,2.1,0.5,0.1,0.8,1.1,0.4,0.2,6.2,0.2,0.6,1.1,0.8,0.2,0.4,0.3,2.2,0,34.6,0,0.2,15.8,-13.3,0,3.2,898.1,0,1308.9
"DOM_17T18",7.1,6.3,0.6,6,0,121.8,2.9,3.5,150.7,15,32.3,8.9,4.9,14.2,3.2,1.5,1.2,0.6,1.2,0.1,0.6,1.7,9.4,0.4,15.9,158.2,23.6,8.5,4.7,19.1,2.1,10,75.1,38.5,6.5,43.4,7.7,95.8,38.8,11.9,15.1,4.8,3.2,15.6,0,478.2,0.1,0.8,11.6,11.5,0,5.1,975.5,0,2475
"DOM_19",122,51,1.1,38.4,0,41.4,1.6,2.8,6.9,51.2,14.9,0.4,4.1,20.8,24.6,2.4,0.5,0.5,0.9,0.2,0.5,2.6,9.3,0.7,58,75,576.3,188.1,74.8,4.1,0.7,11.4,1.3,2.6,1,3.6,2.4,30.5,56.1,11.5,3.4,11.4,3,6,0,924.1,0,0.3,8.7,42.4,0,17.2,359,0,2871.5
"DOM_20",152.8,5.1,1.4,67.3,0,79.5,14.7,9.2,23.9,36.3,169.1,2.7,86.5,17.3,41.3,10.4,1.4,1.2,4,0.2,1.1,9.5,2.6,0.9,98.1,48.3,22.6,4.8,2,2.7,0.5,7.9,5.6,2.3,1.3,8.5,4.2,15.8,25.1,6.3,7.2,31.2,18.6,16.7,0,695.6,0,0.5,28.7,25.2,0,5.2,541,0,2364.4
"DOM_21",11.8,5.3,0,2.8,0,7.2,0.2,0.1,0.4,0.3,12.7,56.1,0.5,0.2,1.9,0.1,0.2,0.1,0.1,0.2,0,0.1,0.1,0,1.1,1.9,1,0.2,0.1,0.1,0,0.3,0.6,0.3,0.2,0.7,0.4,1.7,1,2.6,0.3,10.6,0.2,0.9,0,282.7,0,0.1,6,18.7,0,3.8,24.9,0,460.7
"DOM_22",29,13.1,0.2,14.6,0,54.6,4,0.8,5.1,7.3,24.6,2.8,34.2,4,6.6,4,1,0.7,1.4,0,1.9,4.5,1.6,0.1,61.2,109.6,81.3,4.1,2.7,1.1,0.1,2.4,1.9,4.4,2.3,4.1,0.8,8.8,12.3,2.1,0.9,5.5,0.3,5.2,0,186.7,0,0.1,20.5,10.6,0,0.4,191.2,0,936.8
"DOM_23",6.1,0.8,0.3,11.1,0,52.3,0.4,2.5,0.7,2.1,10.3,1.1,1.8,136,11.3,3.3,7,5.1,1.3,0,0.6,2.7,2.1,0.2,534.3,65.9,13.8,3.8,1.2,0.2,0.3,5.2,0.5,2.9,0.2,1.2,0.6,7.8,1.6,1.4,0.6,1.2,0.7,1.8,0,140.9,0,0.4,23,4.2,0,0.4,70.2,0,1143.5
"DOM_24",21.7,3.5,8.7,222.8,0.7,77.5,2.7,3.7,9.4,46.9,93.2,3.5,60.7,34.4,2223.5,361,21.4,32.9,97.8,6.8,25.6,74.5,9,0.8,724.3,48.3,10.6,6,1.6,2.6,0.3,2.2,6.2,2.9,0.8,3.3,1.5,161.4,52.5,1.6,1.5,3.2,2.2,6.5,0,87.7,0,0.5,107.3,7.2,0,1.6,5051.5,0,9738.2
"DOM_25",9.2,6.7,1.1,39.6,0.1,55.9,2.4,1.7,6.8,23.9,8.9,0.6,9.8,4.7,36.5,18.8,2,1.6,6.5,0.4,4.4,6.1,5.7,0.2,363,65.5,17.4,3.8,4.2,4.6,0.5,5.3,1.7,7.5,1.2,5.1,1.7,8.6,16.6,3.5,1.7,4.1,1.6,4.8,0,189.6,0,0.4,133.1,27.2,0,1,167.3,0,1294.7
"DOM_26",1.1,0.6,0.1,1.9,0,3,0.2,0.2,0.4,0.4,0.7,0.2,0.4,1.6,1.8,0.5,0.8,0.1,0.2,0.1,0.1,0.2,0.5,0,8.8,9.5,2.6,0.5,0.5,0.4,0.2,0.6,0.3,3.4,1.7,1.6,0.2,1.7,1.9,2.2,0.3,2,0.2,0.2,0,83.9,0,1.4,19.5,21.1,0,6.9,80.1,0,266.8
"DOM_27",0.6,0.6,0,0.9,0,1.4,0.1,0.1,0.2,0.3,0.4,0.1,0.2,0.4,0.9,0.1,0.3,0.3,0.5,0,0,0.1,0.7,0,4.7,9.7,1.3,0.4,0.2,0.2,0,0.3,0.2,1.4,0.6,0.8,0.2,1.3,1.7,0.7,0.2,1.1,0.1,0.2,0,20,0,0.2,14,20.3,0,1.7,58.6,0,148.3
"DOM_28",2.2,2,0.4,7.6,0,6.9,0.5,0.5,1.5,1.8,1.9,0.6,1.2,1.3,6.2,0.7,0.3,0.2,0.8,0,0.3,0.7,2.6,0.1,13.3,18,7.2,2.1,2,1.3,0.1,1.5,1,6.2,2.1,5.2,0.5,5.4,7.1,2.9,0.9,2,0.6,0.4,0,38.4,0,0.4,48.1,89.1,0,0.7,197.9,0,494.8
"DOM_29",0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,61.4,0,0,27.8,-49.4,0,0,106.5,0,148.5
"DOM_30",0.7,0.8,0.2,1.3,0,0.8,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.9,0.5,0.1,1.4,1.7,0.1,0.4,0,1.5,19,7.2,6.1,4.2,0.6,0,0.3,0.2,1.1,0.1,0.6,0.3,1.4,4.3,2.5,0.2,0.3,0.1,0.1,0,9.7,0,0,27.1,23,0,0,65.5,0,186.1
"DOM_31T33",3.6,5.5,1.2,17.5,0,14.8,1.7,1.7,3.7,1.1,2.2,2,2.2,2.8,15.8,0.9,0.5,0.2,0.6,0,0.2,2.2,8.2,0.1,16.3,18.2,22.9,6.4,4.8,4.3,0.4,5.4,3.3,22.3,1.9,13.7,0.9,10.4,18.2,5.2,3.6,5.8,2,2.2,0,202,0,0.4,30.8,22,0,15.7,206.3,0,734.1
"DOM_35",51.5,6.4,1.1,119.8,0.2,70,4.9,9.4,27.7,97.9,19,1.4,12.6,24.7,115.8,6,1.7,1.1,2.3,3.9,0.5,4.4,559.6,2.8,17.8,121.5,28.6,7.1,4.4,9.9,1,32.5,7.2,25.1,8.7,33,28.3,38.9,27.4,41.3,15.7,15.4,1.2,7.2,0,729.4,0,2,47.1,0.8,0,0.2,10.6,0,2407.5
"DOM_36T39",1.2,0.7,0.1,1.6,0,6.5,0.5,0.5,0.9,2.7,2.6,0.1,0.5,1.3,1.4,0.5,0.2,0.1,0.1,0.2,0.1,0.8,0.7,0.3,4.4,6.4,1.6,0.3,0.2,1,0.2,2.5,0.8,1.6,0.6,2.5,2.9,3.4,1.4,12,4.3,2.3,2.5,1.4,0,261.8,35.9,34.9,2,0,0,0.1,0.5,0,411.3
"DOM_41T43",7,0.4,0.5,5.1,0,18.3,1.3,1.2,2.9,5.9,6.3,1,2.6,3.3,5.9,1.2,0.6,0.4,0.6,0,0.3,0.4,12.6,2.7,5.5,56.8,3,0.5,0.6,17.7,0.5,23.8,7.2,29,3,47.3,362.6,24,22.6,66.6,30.9,7.4,5.8,12.3,0,89.5,0,0.6,8534.7,-0.1,0,0,0,0,9432.1
"DOM_45T47",322.1,98.7,3.9,114.6,0.2,722.1,75.4,27,68.1,51.1,137.9,43.2,58.5,42,117.5,27.6,8.8,6,18.7,11.4,8.1,27.6,42.9,2.1,363.4,638.4,415.2,116.9,71.4,33.4,4,146,29.7,116.6,42.3,77.9,15.9,122.3,187,55.2,22.5,55.9,23.7,39.1,0,5984,1,37.3,845.4,-6.8,0,54.6,1575.1,0,13102.8
