"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T02",1281.9,4,0.1,0.1,0,2298.4,11.8,288.8,136.1,0,3.7,0.7,22.8,0.2,0.2,0,0.1,0,0,0,0,23.6,17.5,0,66.4,2.9,1.1,11.1,0.2,9.9,0,92.7,0.8,0,0,0.4,0.7,0,0.5,5.2,1.3,3.5,13.4,46.9,0,1546.8,0,99.4,190.8,-6.1,0,7.4,827.5,0,7012.9
"DOM_03",5.1,49.9,0,1.5,0,270.7,0.2,0.2,0.5,0.3,2.8,30.2,1.6,0.3,0.8,0.1,0,0,0.1,0,0,0.3,0,0,1.9,0.9,0.3,4.1,0,0.1,0,24.3,0.1,0.1,0.1,0.4,0.1,0.4,0.5,0.6,0.3,1.1,1.1,2.5,0,205.2,0,0.2,0.8,-11,0,1.1,1231.5,0,1831.4
"DOM_05T06",0.7,0.2,0.7,0.8,0.1,2.5,0.1,0,0.3,120.1,2.5,0.6,0.1,2.4,8.1,0.1,0.1,0.1,0.1,0,0,0,12.5,0,0.9,0.8,3.3,0.8,0.4,0.1,0,0.3,0.1,0.1,0.1,0.2,0.1,0.7,0.5,0.1,0.1,0.1,0,0.1,0,16.8,0,0,7.3,-10.6,0,0.1,2.9,0,177.8
"DOM_07T08",41.8,2,10.6,1424.9,1.4,34.1,3,3.1,6.6,21,71,1.2,44.9,139.2,1618.1,117.9,0.6,0.6,38.4,0.3,3.8,27.5,1.6,0.5,357.1,38.7,5.6,1.8,1,3.1,0.2,5.7,3.1,2.5,1.4,3.4,2,81.4,10,3.1,1.8,6.3,6.7,15.5,0,113.6,0,0.7,103.4,-0.9,0,1.8,4264,0,8647.2
"DOM_09",0.2,0,4.4,0.2,1,0.1,0,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0.8,0,0,65.1,0,0,0,2.4,0,75.8
"DOM_10T12",392.4,340.3,0.4,6.6,0,612.1,7.6,1.1,4.2,2.4,20.2,3.8,3.6,3.6,6.8,1.1,0.4,0.3,0.6,0.3,0.3,1.9,2.6,0.8,20.7,53.3,6.1,33.3,2.6,2,0.2,417.8,1.4,3,2.1,6.9,5,9.5,7.7,11.5,4.9,10.1,15.9,12.3,0,5399.9,0,33,31.4,-13.6,0,44.8,2376.9,0,9911.9
"DOM_13T15",4.2,2.3,0,2,0,8.5,24.7,0.3,2.4,0.4,1.7,0.5,2.6,0.7,2,0.4,0.2,0.2,0.4,0.1,0.1,3.4,0.5,0.1,12.5,17.2,3.1,2.3,0.7,0.5,0.1,2.9,1.4,0.5,0.4,3.4,0.7,2.5,2.2,1.8,0.5,1.9,2,2.5,0,681.9,0,0.3,10.9,-14.3,0,18.9,193.2,0,1007.7
"DOM_16",10.2,1.6,0.1,1.1,0,15.1,0.3,57.8,10.5,0.2,1.4,0.2,0.6,0.8,1,0.5,0.1,0.1,0.1,0,0.1,12.4,0.9,0,113.4,12.8,1,0.2,0.2,0.3,0,0.7,0.7,0.3,0.2,0.8,0.3,0.8,1,1,0.2,0.5,0.3,1.3,0,34.2,0,0.2,11.9,-9.2,0,2.9,1108.1,0,1399.6
"DOM_17T18",10.4,5.4,0,9,0,94.9,2.3,5,214.7,5.1,36.3,7.2,5.7,15.5,5.4,1.6,1.4,1.1,1.2,0.2,0.7,1.9,20.2,0.5,18.8,188.8,8.5,3.1,2.2,30.8,2.9,8.9,80.6,47.9,5.7,60.5,12.8,81.1,35.3,20.1,13.3,6.5,3.5,21,0,398.3,0.1,0.6,11.2,-4.8,0,4.8,1101.7,0,2609.9
"DOM_19",124.5,39.5,1.1,43.6,0,35.2,1.7,3.7,7.6,24.2,13.1,0.7,4.9,13.9,30.9,2.8,0.9,0.9,1.2,0.3,0.6,3,3.7,0.7,53.1,98.9,686.3,206,92.4,3.8,0.7,11.9,1.6,2.7,1.3,3.5,2.9,31.7,53.9,19.8,3.3,20.7,4,5.6,0,837.6,0,0.5,12.5,2.7,0,18.8,535.5,0,3070.4
"DOM_20",172.3,6.5,1.4,102.1,0,78.2,12.1,15.6,34.3,19.8,163.5,2.1,107.3,23.1,61.1,11,1.7,1.8,4.9,0.2,1.2,9.5,0.9,0.9,141.7,43.2,22.8,2.8,0.8,4.7,0.7,10.3,5.1,2.1,1.4,6.2,7.1,16.5,30.6,11.6,10.3,47,27.5,22.2,0,614.7,0,0.5,26.8,-6.3,0,5.3,641.5,0,2528.2
"DOM_21",15.3,8.1,0,4.9,0,8,0.2,0.1,0.4,0.1,18.4,63.3,0.6,0.2,3.4,0.1,0.2,0.1,0.1,0.4,0,0.1,0.1,0,1.4,1.6,0.5,0.2,0.1,0.1,0,0.3,0.7,0.2,0.2,0.6,0.7,1.9,1,5.6,0.5,18,0.2,1.4,0,294.3,0,0.1,5.4,-0.2,0,3.7,30.5,0,492.6
"DOM_22",30.7,18.9,0.1,17.2,0,50.7,3.2,1.2,6.7,4.1,27.3,2.3,30.6,5.7,9.9,4.5,1.2,1.2,2.1,0.1,2.9,5.3,1.3,0,81.6,149.2,84.1,1,1.4,1.6,0.1,2.6,1.9,4.9,2.8,3.4,1.3,8.9,13.8,3.2,1,7.3,0.2,5.1,0,155.9,0,0.1,19.5,-2.3,0,0.3,225.5,0,1001.7
"DOM_23",7.1,0.7,0.1,9.1,0,49.9,0.3,0.9,0.9,0.7,8.7,0.6,1.7,145.1,12.9,2.8,18.4,14.7,1.2,0,0.9,3.3,1.5,0,615.3,72.5,8.1,3.5,1.1,0.2,0.1,5.8,0.6,4.5,0.3,1,1.3,9.7,1.6,1.7,0.3,1.6,0.9,2.1,0,119.5,0,0.4,27.7,-19.1,0,0.4,80.4,0,1222.7
"DOM_24",26.7,1.8,15.1,262.6,1.3,42.1,2.9,4.1,8.1,38.8,85.3,2.8,74.7,35.7,3049.8,387.8,3.4,6.9,109.3,6.1,30.5,83.9,3.3,0.7,637.9,54.4,4.5,6.2,1,3.4,0.1,2.3,7.6,1.6,0.8,3.2,2,229.7,70.2,2.7,1.4,5.8,3.6,11.6,0,95.4,0,0.4,108.1,-2.5,0,1.5,5654.2,0,11191.2
"DOM_25",10.2,6.2,0.9,47.5,0.2,37.1,2.6,2.8,6.7,4.1,8.8,0.5,4,5.7,42.5,18.7,1.8,1.9,5.8,0.3,2.8,6.3,3.9,0.1,480.4,102,7.3,2.6,2.8,2.4,0.4,4.9,1.6,5.8,1.4,6.3,3.2,7.6,12.1,6.2,2.5,4.5,1.5,7.8,0,188.5,0,0.4,152.9,-17.5,0,1.4,174.2,0,1384.4
